id,division,name,country,age,rank_raw,rank_type,rank_slot,is_champ,wins,draws,losses,rating,streak,last_fight_date,next_available_date,rating_history,rank_history,is_active
1,Flyweight,Кай Кара Фрэнс,Новая Зеландия,32,Ч,CHAMP,,1,0,0,0,1570.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1570.0}]","[{""d"": ""2026-01-01"", ""rank"": 0}]",1
2,Flyweight,Брэндон Морено,Мекска,31,1,RANKED,1.0,0,0,0,0,1600.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1600.0}]","[{""d"": ""2026-01-01"", ""rank"": 1}]",1
3,Flyweight,Александр Пантожа,Бразилия,35,2,RANKED,2.0,0,0,0,0,1620.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1620.0}]","[{""d"": ""2026-01-01"", ""rank"": 2}]",1
4,Flyweight,Брендон Ройвал,США,32,3,RANKED,3.0,0,0,0,0,1530.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1530.0}]","[{""d"": ""2026-01-01"", ""rank"": 3}]",1
5,Flyweight,Алекс Перез,США,33,4,RANKED,4.0,0,0,0,0,1520.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1520.0}]","[{""d"": ""2026-01-01"", ""rank"": 4}]",1
6,Flyweight,Татсура Таира,Япония,25,5,RANKED,5.0,0,0,0,0,1510.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1510.0}]","[{""d"": ""2026-01-01"", ""rank"": 5}]",1
7,Flyweight,Амир Альбази,Ирак,31,6,RANKED,6.0,0,0,0,0,1500.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1500.0}]","[{""d"": ""2026-01-01"", ""rank"": 6}]",1
8,Flyweight,Манель Кейпе,Ангола,31,7,RANKED,7.0,0,0,0,0,1550.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1550.0}]","[{""d"": ""2026-01-01"", ""rank"": 7}]",1
9,Flyweight,Стив Эрцег,Австралия,29,8,RANKED,8.0,0,0,0,0,1480.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1480.0}]","[{""d"": ""2026-01-01"", ""rank"": 8}]",1
10,Flyweight,Асу Алмабаев,Казахстан,31,9,RANKED,9.0,0,0,0,0,1470.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1470.0}]","[{""d"": ""2026-01-01"", ""rank"": 9}]",1
11,Flyweight,Тагир Уланбеков,Россия,33,10,RANKED,10.0,0,0,0,0,1460.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1460.0}]","[{""d"": ""2026-01-01"", ""rank"": 10}]",1
