id,division,name,country,age,rank_raw,rank_type,rank_slot,is_champ,wins,draws,losses,rating,streak,last_fight_date,next_available_date,rating_history,rank_history,is_active
1,Light Heavyweight,Илия Топурия,Испания,28,Ч,CHAMP,,1,0,0,0,1600.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1600.0}]","[{""d"": ""2026-01-01"", ""rank"": 0}]",1
2,Light Heavyweight,Арман Царукян,Армения,28,1,RANKED,1.0,0,0,0,0,1590.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1590.0}]","[{""d"": ""2026-01-01"", ""rank"": 1}]",1
3,Light Heavyweight,Чарльз Оливейра,Бразилия,25,2,RANKED,2.0,0,0,0,0,1550.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1550.0}]","[{""d"": ""2026-01-01"", ""rank"": 2}]",1
4,Light Heavyweight,Дастин Порье,США,36,3,RANKED,3.0,0,0,0,0,1530.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1530.0}]","[{""d"": ""2026-01-01"", ""rank"": 3}]",1
5,Light Heavyweight,Джастин Гейджи,США,36,4,RANKED,4.0,0,0,0,0,1530.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1530.0}]","[{""d"": ""2026-01-01"", ""rank"": 4}]",1
6,Light Heavyweight,Матеуш Гамрот,Польша,34,5,RANKED,5.0,0,0,0,0,1510.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1510.0}]","[{""d"": ""2026-01-01"", ""rank"": 5}]",1
7,Light Heavyweight,Ренато Мойкано,Бразилия,35,6,RANKED,6.0,0,0,0,0,1500.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1500.0}]","[{""d"": ""2026-01-01"", ""rank"": 6}]",1
8,Light Heavyweight,Дэн Хукер,Новая Зеландия,35,7,RANKED,7.0,0,0,0,0,1500.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1500.0}]","[{""d"": ""2026-01-01"", ""rank"": 7}]",1
9,Light Heavyweight,Пэдди Пимблетт,Англия,30,8,RANKED,8.0,0,0,0,0,1535.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1535.0}]","[{""d"": ""2026-01-01"", ""rank"": 8}]",1
10,Light Heavyweight,Бенуа Сэн-Дени,Франция,29,9,RANKED,9.0,0,0,0,0,1505.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1505.0}]","[{""d"": ""2026-01-01"", ""rank"": 9}]",1
