id,division,name,country,age,rank_raw,rank_type,rank_slot,is_champ,wins,draws,losses,rating,streak,last_fight_date,next_available_date,rating_history,rank_history,is_active
1,Lightweight,Илия Топурия,Испания,28,Ч,CHAMP,,1,0,0,0,1600.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1600.0}]","[{""d"": ""2026-01-01"", ""rank"": 0}]",1
2,Lightweight,Арман Царукян,Армения,28,1,RANKED,1.0,0,0,0,0,1590.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1590.0}]","[{""d"": ""2026-01-01"", ""rank"": 1}]",1
3,Lightweight,Чарльз Оливейра,Бразилия,25,2,RANKED,2.0,0,0,0,0,1550.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1550.0}]","[{""d"": ""2026-01-01"", ""rank"": 2}]",1
4,Lightweight,Дастин Порье,США,36,3,RANKED,3.0,0,0,0,0,1530.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1530.0}]","[{""d"": ""2026-01-01"", ""rank"": 3}]",1
5,Lightweight,Джастин Гейджи,США,36,4,RANKED,4.0,0,0,0,0,1530.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1530.0}]","[{""d"": ""2026-01-01"", ""rank"": 4}]",1
6,Lightweight,Матеуш Гамрот,Польша,34,5,RANKED,5.0,0,0,0,0,1510.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1510.0}]","[{""d"": ""2026-01-01"", ""rank"": 5}]",1
7,Lightweight,Ренато Мойкано,Бразилия,35,6,RANKED,6.0,0,0,0,0,1500.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1500.0}]","[{""d"": ""2026-01-01"", ""rank"": 6}]",1
8,Lightweight,Дэн Хукер,Новая Зеландия,35,7,RANKED,7.0,0,0,0,0,1500.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1500.0}]","[{""d"": ""2026-01-01"", ""rank"": 7}]",1
9,Lightweight,Пэдди Пимблетт,Англия,30,8,RANKED,8.0,0,0,0,0,1535.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1535.0}]","[{""d"": ""2026-01-01"", ""rank"": 8}]",1
10,Lightweight,Бенуа Сэн-Дени,Франция,29,9,RANKED,9.0,0,0,0,0,1505.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1505.0}]","[{""d"": ""2026-01-01"", ""rank"": 9}]",1
11,Lightweight,Рафаэль Физиев,Азербайджан,32,10,RANKED,10.0,0,0,0,0,1460.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1460.0}]","[{""d"": ""2026-01-01"", ""rank"": 10}]",1
12,Lightweight,Майкл Чендлер,США,39,11,RANKED,11.0,0,0,0,0,1425.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1425.0}]","[{""d"": ""2026-01-01"", ""rank"": 11}]",1
13,Lightweight,Бенэил Дариуш,Иран,35,12,RANKED,12.0,0,0,0,0,1420.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1420.0}]","[{""d"": ""2026-01-01"", ""rank"": 12}]",1
14,Lightweight,Йоэль Альварез,Испания,32,13,RANKED,13.0,0,0,0,0,1430.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1430.0}]","[{""d"": ""2026-01-01"", ""rank"": 13}]",1
15,Lightweight,Грант Доусон,США,31,14,RANKED,14.0,0,0,0,0,1400.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1400.0}]","[{""d"": ""2026-01-01"", ""rank"": 14}]",1
