id,division,name,country,age,rank_raw,rank_type,rank_slot,is_champ,wins,draws,losses,rating,streak,last_fight_date,next_available_date,rating_history,rank_history,is_active
101,Bantamweight,Петр Ян,russia,32,Ч,CHAMP,,1,0,0,0,1570.0,0,,2026-01-01,,,1
102,Bantamweight,Умар Нурмагомедов,russia,29,1,RANKED,1.0,0,0,0,0,1540.0,0,,2026-01-01,,,1
103,Bantamweight,Мераб Двалишвили,Грузия,34,2,RANKED,2.0,0,0,0,0,1620.0,0,,2026-01-01,,,1
104,Bantamweight,Марлон Вера,Эквадор,32,3,RANKED,3.0,0,0,0,0,1530.0,0,,2026-01-01,,,1
105,Bantamweight,Дейвесон Фигередо,Бразилия,37,4,RANKED,4.0,0,0,0,0,1520.0,0,,2026-01-01,,,1
106,Bantamweight,Шон О'Мэлли,united_states,30,5,RANKED,5.0,0,0,0,0,1540.0,0,,2026-01-01,,,1
107,Bantamweight,Кори Сэндхаген,united_states,33,6,RANKED,6.0,0,0,0,0,1500.0,0,,2026-01-01,,,1
108,Bantamweight,Винисиус де Оливейра,Бразилия,29,7,RANKED,7.0,0,0,0,0,1510.0,0,,2026-01-01,,,1
109,Bantamweight,Айманн Захаби,Канада,37,8,RANKED,8.0,0,0,0,0,1480.0,0,,2026-01-01,,,1
110,Bantamweight,Роб Фонт,united_states,37,9,RANKED,9.0,0,0,0,0,1470.0,0,,2026-01-01,,,1
111,Bantamweight,Сонг Ядонг,Китай,27,10,RANKED,10.0,0,0,0,0,1460.0,0,,2026-01-01,,,1
112,Bantamweight,Марио Баутиста,united_states,31,11,RANKED,11.0,0,0,0,0,1435.0,0,,2026-01-01,,,1
113,Bantamweight,Кайлер Филлипс,united_states,29,12,RANKED,12.0,0,0,0,0,1440.0,0,,2026-01-01,,,1
114,Bantamweight,Маркус Макги,united_states,34,13,RANKED,13.0,0,0,0,0,1400.0,0,,2026-01-01,,,1
115,Bantamweight,Монтел Джексон,united_states,33,14,RANKED,14.0,0,0,0,0,1420.0,0,,2026-01-01,,,1
116,Bantamweight,Саид Нурмагомедов,russia,32,15,RANKED,15.0,0,0,0,0,1410.0,0,,2026-01-01,,,1
117,Bantamweight,Чэд Энхилегер,Канада,38,***,UNRANKED,,0,0,0,0,1300.0,0,,2026-01-01,,,1
118,Bantamweight,Муин Гафуров,Таджикистан,28,***,UNRANKED,,0,0,0,0,1300.0,0,,2026-01-01,,,1
119,Bantamweight,Серхий Сидей,Украина,28,***,UNRANKED,,0,0,0,0,1300.0,0,,2026-01-01,,,1
120,Bantamweight,Рауль Росас мл.,Мексика,20,***,UNRANKED,,0,0,0,0,1300.0,0,,2026-01-01,,,1
121,Bantamweight,Чан Хо Ли,Южная Корея,30,***,UNRANKED,,0,0,0,0,1300.0,0,,2026-01-01,,,1
122,Bantamweight,Педро Муньоз,Бразилия,38,***,UNRANKED,,0,0,0,0,1300.0,0,,2026-01-01,,,1
123,Bantamweight,Чарльз Жорден,Канада,29,***,UNRANKED,,0,0,0,0,1300.0,0,,2026-01-01,,,1
124,Bantamweight,Виктор Генри,united_states,37,***,UNRANKED,,0,0,0,0,1300.0,0,,2026-01-01,,,1
125,Bantamweight,Гаррет Армфилд,united_states,28,***,UNRANKED,,0,0,0,0,1300.0,0,,2026-01-01,,,1
126,Bantamweight,Баергенг Джиелейиси,Китай,27,***,UNRANKED,,0,0,0,0,1300.0,0,,2026-01-01,,,1
127,Bantamweight,Суянг Ю,Южная Корея,29,***,UNRANKED,,0,0,0,0,1300.0,0,,2026-01-01,,,1
128,Bantamweight,Раони Барселос,Бразилия,37,***,UNRANKED,,0,0,0,0,1300.0,0,,2026-01-01,,,1
129,Bantamweight,Ринья Накамура,Япония,29,***,UNRANKED,,0,0,0,0,1300.0,0,,2026-01-01,,,1
130,Bantamweight,Бенардо Сопай,Албания,24,***,UNRANKED,,0,0,0,0,1300.0,0,,2026-01-01,,,1
131,Bantamweight,Колби Тикнесс,australia,25,***,UNRANKED,,0,0,0,0,1300.0,0,,2026-01-01,,,1
132,Bantamweight,Натан Флетчер,Англия,27,***,UNRANKED,,0,0,0,0,1300.0,0,,2026-01-01,,,1
133,Bantamweight,Каолан Лаугхран,Ирландия,28,***,UNRANKED,,0,0,0,0,1300.0,0,,2026-01-01,,,1
134,Bantamweight,Джейк Хадли,Англия,28,***,UNRANKED,,0,0,0,0,1300.0,0,,2026-01-01,,,1
135,Bantamweight,Даниэль Маркос,Перу,32,***,UNRANKED,,0,0,0,0,1300.0,0,,2026-01-01,,,1
136,Bantamweight,Бекзат Алмахан,Казахстан,26,***,UNRANKED,,0,0,0,0,1300.0,0,,2026-01-01,,,1
137,Bantamweight,Брэд Катона,Канада,33,***,UNRANKED,,0,0,0,0,1300.0,0,,2026-01-01,,,1
138,Bantamweight,Коди Гибсон,united_states,37,***,UNRANKED,,0,0,0,0,1300.0,0,,2026-01-01,,,1
139,Bantamweight,Рикки Турсиос,united_states,31,***,UNRANKED,,0,0,0,0,1300.0,0,,2026-01-01,,,1
140,Bantamweight,Джонатан Мартинез,united_states,28,***,UNRANKED,,0,0,0,0,1300.0,0,,2026-01-01,,,1
141,Bantamweight,Пэйтон Тэлботт,united_states,26,***,UNRANKED,,0,0,0,0,1300.0,0,,2026-01-01,,,1
142,Bantamweight,Александр Топурия,Грузия,29,***,UNRANKED,,0,0,0,0,1300.0,0,,2026-01-01,,,1
143,Bantamweight,Куанг Ле,Вьетнам,33,***,UNRANKED,,0,0,0,0,1300.0,0,,2026-01-01,,,1
