id,division,name,country,age,rank_raw,rank_type,rank_slot,is_champ,wins,draws,losses,rating,streak,last_fight_date,next_available_date,rating_history,rank_history,is_active
1,Featherweight,Александр Волкановски,Австралия,36,Ч,CHAMP,,1,0,0,0,1570.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1570.0}]","[{""d"": ""2026-01-01"", ""rank"": 0}]",1
2,Featherweight,Мовсар Евлоев,Россия,31,1,RANKED,1.0,0,0,0,0,1570.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1570.0}]","[{""d"": ""2026-01-01"", ""rank"": 1}]",1
3,Featherweight,Яир Родригез,Мексика,32,2,RANKED,2.0,0,0,0,0,1550.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1550.0}]","[{""d"": ""2026-01-01"", ""rank"": 2}]",1
4,Featherweight,Макс Холлоуэй,Гаваи,32,3,RANKED,3.0,0,0,0,0,1550.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1550.0}]","[{""d"": ""2026-01-01"", ""rank"": 3}]",1
5,Featherweight,Диего Лопес,Бразилия,30,4,RANKED,4.0,0,0,0,0,1540.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1540.0}]","[{""d"": ""2026-01-01"", ""rank"": 4}]",1
6,Featherweight,Арнольд Аллен,Англия,31,5,RANKED,5.0,0,0,0,0,1530.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1530.0}]","[{""d"": ""2026-01-01"", ""rank"": 5}]",1
7,Featherweight,Алджэмейн Стерлинг,США,35,6,RANKED,6.0,0,0,0,0,15250.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 15250.0}]","[{""d"": ""2026-01-01"", ""rank"": 6}]",1
8,Featherweight,Жан Силва,Бразилия,28,7,RANKED,7.0,0,0,0,0,1550.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1550.0}]","[{""d"": ""2026-01-01"", ""rank"": 7}]",1
9,Featherweight,Брайэн Ортега,США,34,8,RANKED,8.0,0,0,0,0,1480.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1480.0}]","[{""d"": ""2026-01-01"", ""rank"": 8}]",1
10,Featherweight,Юссеф Залал,Марокко,28,9,RANKED,9.0,0,0,0,0,1550.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1550.0}]","[{""d"": ""2026-01-01"", ""rank"": 9}]",1
11,Featherweight,Лерон Мёрфи,Англия,33,10,RANKED,10.0,0,0,0,0,1520.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1520.0}]","[{""d"": ""2026-01-01"", ""rank"": 10}]",1
12,Featherweight,Джош Эмметт,США,40,11,RANKED,11.0,0,0,0,0,1405.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1405.0}]","[{""d"": ""2026-01-01"", ""rank"": 11}]",1
13,Featherweight,Дэн Иге,США,33,12,RANKED,12.0,0,0,0,0,1440.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1440.0}]","[{""d"": ""2026-01-01"", ""rank"": 12}]",1
14,Featherweight,Гига Чикадзе,Грузия,36,13,RANKED,13.0,0,0,0,0,1430.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1430.0}]","[{""d"": ""2026-01-01"", ""rank"": 13}]",1
15,Featherweight,Келвин Кэттер,США,37,14,RANKED,14.0,0,0,0,0,1420.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1420.0}]","[{""d"": ""2026-01-01"", ""rank"": 14}]",1
16,Featherweight,Дэвид Онама,Уганда,30,15,RANKED,15.0,0,0,0,0,1500.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1500.0}]","[{""d"": ""2026-01-01"", ""rank"": 15}]",1
17,Featherweight,Джош Кулибао,Австралия,30,***,UNRANKED,,0,0,0,0,1300.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1300.0}]","[{""d"": ""2026-01-01"", ""rank"": null}]",1
18,Featherweight,Патрисио Питбуль,Бразилия,37,***,UNRANKED,,0,0,0,0,1390.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1390.0}]","[{""d"": ""2026-01-01"", ""rank"": null}]",1
19,Featherweight,Фелипе Лима,Бразилия,26,***,UNRANKED,,0,0,0,0,1300.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1300.0}]","[{""d"": ""2026-01-01"", ""rank"": null}]",1
20,Featherweight,Фарид Башарат,Афганистан,27,***,UNRANKED,,0,0,0,0,1370.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1370.0}]","[{""d"": ""2026-01-01"", ""rank"": null}]",1
21,Featherweight,Рикардо Рамос,Бразилия,29,***,UNRANKED,,0,0,0,0,1300.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1300.0}]","[{""d"": ""2026-01-01"", ""rank"": null}]",1
22,Featherweight,Джек Дженкинс,Австралия,31,***,UNRANKED,,0,0,0,0,1300.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1300.0}]","[{""d"": ""2026-01-01"", ""rank"": null}]",1
23,Featherweight,Герберт Бёрнс,Бразилия,37,***,UNRANKED,,0,0,0,0,1350.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1350.0}]","[{""d"": ""2026-01-01"", ""rank"": null}]",1
24,Featherweight,Уилльям Гомис,Франция,27,***,UNRANKED,,0,0,0,0,1300.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1300.0}]","[{""d"": ""2026-01-01"", ""rank"": null}]",1
25,Featherweight,Морган Чаррье,Франция,29,***,UNRANKED,,0,0,0,0,1300.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1300.0}]","[{""d"": ""2026-01-01"", ""rank"": null}]",1
26,Featherweight,Каб Свонсон,США,41,***,UNRANKED,,0,0,0,0,1300.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1300.0}]","[{""d"": ""2026-01-01"", ""rank"": null}]",1
